CPT-log version: 5.22
======== BEGIN OF TEST ========
DATE 20.09.2022

<Transmited Data>
<NEW BUTTON 13:56:24>
[^C][CR]
[^C][CR]
[^C][CR]
CLEAR[CR]
[^C][CR]
DOFF[CR]
[^C][CR]
SCANG[CR]
[^C][CR]
[^C][CR]
CLEAR[CR]

<START BUTTON 14:00:44>
[^C][CR]
[^C][CR]
DRON[CR]
SCANG[CR]

<PAUSE BUTTON 14:22:41>
[^C][CR]
[^C][CR]
DOFF[CR]
[^C][CR]
CLEAR[CR]

<END BUTTON 14:29:45>
[^C][CR]
SCANG[CR]
[^C][CR]


<Received Data>
<NEW BUTTON 13:56:24>

>
Reset interface. Wait time for interface: 94
>
Reset interface. Wait time for interface: 109
>
Reset interface. Wait time for interface: 110CLEAR
OK
>
Command: CLEAR Wait time for interface: 109

>
Reset interface. Wait time for interface: 109DOFF
OK
>
Command: DOFF Wait time for interface: 110

>
Reset interface. Wait time for interface: 109SCANG
Z,0,0,0,0
C,12958,470,944,19[CR],2422443312
F,17642,13518,953,21[CR],2422443750
C,12972,470,960,17[CR],2422444078
F,17724,13509,969,20[CR],2422444515
A,35724,17792,977,22[CR],2422444843
F,17810,13487,985,18[CR],2422445281
C,12957,472,993,20[CR],2422445609
F,17928,13494,1001,22[CR],2422446046
C,12951,470,1009,19[CR],2422446484
F,18024,13476,1017,21[CR],2422446812
C,12960,470,1025,23[CR],2422447250
F,18130,13467,1034,19[CR],2422447578
C,12964,464,1042,21[CR],2422448015
F,18226,13482,1050,23[CR],2422448343
C,12977,474,1058,20[CR],2422448781
F,18340,13508,1066,22[CR],2422449218
C,12992,482,1074,17[CR],2422449546
F,18454,13520,1082,20[CR],2422449984
C,13013,474,1090,22[CR],2422450312
F,18572,13489,1098,19[CR],2422450750
A,35688,18662,1107,20[CR],2422451078
F,18678,13490,1115,22[CR],2422451453
C,13037,468,1123,19[CR],2422451953
F,18812,13542,1131,21[CR],2422452390
Z,0,0,1141,21[CR],2422452718
F,18930,13561,1147,19[CR],2422453046
C,13045,492,1155,21[CR],2422453484
F,19046,13552,1163,18[CR],2422453812
C,13076,532,1171,19[CR],2422454250
F,19180,13542,1180,22[CR],2422454687
C,13125,532,1188,18[CR],2422455015
F,19334,13509,1196,20[CR],2422455453
C,13147,530,1204,22[CR],2422455781
F,19488,13493,1212,17[CR],2422456218
C,13152,530,1220,20[CR],2422456546
F,19612,13508,1228,22[CR],2422456984
A,35676,19710,1236,19[CR],2422457421
F,19738,13582,1245,21[CR],2422457750
C,13102,542,1252,22[CR],2422458187
F,19876,13646,1260,19[CR],2422458515
C,13090,558,1269,21[CR],2422458953
F,20002,13663,1277,22[CR],2422459281
C,13097,572,1285,19[CR],2422459718
F,20134,13636,1293,21[CR],2422460156
C,13093,560,1301,17[CR],2422460484
F,20258,13625,1309,20[CR],2422460921
C,13095,548,1317,22[CR],2422461250
F,20390,13617,1325,19[CR],2422461687
C,13096,564,1334,20[CR],2422462015
F,20518,13620,1342,22[CR],2422462453
C,13112,568,1350,19[CR],2422462890
F,20656,13583,1358,20[CR],2422463218
A,35604,20734,1366,23[CR],2422463656
F,20754,13565,1374,19[CR],2422463984
C,13121,604,1382,21[CR],2422464421
F,20888,13596,1390,20[CR],2422464750
C,13104,566,1398,20[CR],2422465187
F,20994,13599,1407,21[CR],2422465625
C,13098,608,1414,17[CR],2422465953
F,21124,13585,1423,20[CR],2422466390
C,13092,612,1431,21[CR],2422466718
F,21242,13561,1439,19[CR],2422467156
C,13108,622,1447,20[CR],2422467484
F,21382,13607,1455,22[CR],2422467921
C,13099,620,1463,19[CR],2422468359
F,21508,13587,1471,21[CR],2422468687
C,13130,622,1479,22[CR],2422469125
F,21630,13594,1488,19[CR],2422469453
A,35548,21750,1496,21[CR],2422469890
F,21776,13569,1503,22[CR],2422470218
C,13144,626,1512,20[CR],2422470656
F,21940,13549,1520,22[CR],2422471093
C,13144,626,1528,17[CR],2422471421
